,mutation,APCrossOver,CXCrossOver,ERCrossOver,OX1CrossOver,OX2CrossOver,PMXCrossOver,POSCrossOver,VRCrossOver
0,DM,1895,1637,2588,1352,1547,1482,1406,1531
1,EM,1902,1602,2803,1392,1397,1323,1496,1628
2,ISM,1623,1796,2657,1314,1548,1513,1398,1590
3,IVM,2331,2510,2585,1528,2130,2337,1929,2752
4,SIM,2287,1412,2648,1300,1467,1300,1342,1408
5,SM,1960,2023,2709,1702,1465,1878,1674,1735
